label,score
lh_bankssts,25.824
lh_caudalanteriorcingulate,-34.3788
lh_caudalmiddlefrontal,15.0477
lh_cuneus,-32.9722
lh_entorhinal,-71.6945
lh_fusiform,6.60825
lh_inferiorparietal,10.1256
lh_inferiortemporal,15.6319
lh_isthmuscingulate,-25.1559
lh_lateraloccipital,-16.8649
lh_lateralorbitofrontal,38.5279
lh_lingual,-30.3951
lh_medialorbitofrontal,38.8275
lh_middletemporal,10.8944
lh_parahippocampal,-18.0101
lh_paracentral,-7.41099
lh_parsopercularis,23.0365
lh_parsorbitalis,38.7014
lh_parstriangularis,36.317
lh_pericalcarine,-68.647
lh_postcentral,-19.0025
lh_posteriorcingulate,8.34964
lh_precentral,-9.10938
lh_precuneus,15.2095
lh_rostralanteriorcingulate,8.88503
lh_rostralmiddlefrontal,40.4867
lh_superiorfrontal,21.2202
lh_superiorparietal,2.90203
lh_superiortemporal,16.2138
lh_supramarginal,18.9989
lh_temporalpole,-42.8113
lh_transversetemporal,-25.6303
lh_insula,10.275
