k	stratum	metric	value
3	ALL	n_stratum_common	1071
3	ALL	n_pooled_pass	700
3	ALL	n_lost_by_pooled	371
3	ALL	n_stratum_common_r2pass	991
3	ALL	n_sampled	28948
3	EURlike	lost_attributed	21
3	EURlike	n_common_variants	575
3	EURlike	mean_ambiguity	0.015687
3	EURlike	pct_uncertain_ge05	4.5217
3	cluster2	lost_attributed	24
3	cluster2	n_common_variants	582
3	cluster2	mean_ambiguity	0.020910
3	cluster2	pct_uncertain_ge05	8.5911
3	cluster1	lost_attributed	326
3	cluster1	n_common_variants	950
3	cluster1	mean_ambiguity	0.011841
3	cluster1	pct_uncertain_ge05	3.3684
4	ALL	n_stratum_common	1117
4	ALL	n_pooled_pass	700
4	ALL	n_lost_by_pooled	417
4	ALL	n_stratum_common_r2pass	1004
4	ALL	n_sampled	28948
4	EURlike	lost_attributed	20
4	EURlike	n_common_variants	575
4	EURlike	mean_ambiguity	0.015726
4	EURlike	pct_uncertain_ge05	4.5217
4	cluster2	lost_attributed	12
4	cluster2	n_common_variants	587
4	cluster2	mean_ambiguity	0.018083
4	cluster2	pct_uncertain_ge05	6.9847
4	cluster1	lost_attributed	328
4	cluster1	n_common_variants	952
4	cluster1	mean_ambiguity	0.011802
4	cluster1	pct_uncertain_ge05	3.3613
4	cluster3	lost_attributed	57
4	cluster3	n_common_variants	575
4	cluster3	mean_ambiguity	0.028648
4	cluster3	pct_uncertain_ge05	17.0435
5	ALL	n_stratum_common	1138
5	ALL	n_pooled_pass	700
5	ALL	n_lost_by_pooled	438
5	ALL	n_stratum_common_r2pass	1019
5	ALL	n_sampled	28948
5	EURlike	lost_attributed	20
5	EURlike	n_common_variants	567
5	EURlike	mean_ambiguity	0.015925
5	EURlike	pct_uncertain_ge05	4.5855
5	cluster2	lost_attributed	13
5	cluster2	n_common_variants	580
5	cluster2	mean_ambiguity	0.018281
5	cluster2	pct_uncertain_ge05	7.0690
5	cluster1	lost_attributed	346
5	cluster1	n_common_variants	957
5	cluster1	mean_ambiguity	0.011832
5	cluster1	pct_uncertain_ge05	3.3438
5	cluster3	lost_attributed	1
5	cluster3	n_common_variants	854
5	cluster3	mean_ambiguity	0.012440
5	cluster3	pct_uncertain_ge05	2.6932
5	cluster4	lost_attributed	58
5	cluster4	n_common_variants	573
5	cluster4	mean_ambiguity	0.028779
5	cluster4	pct_uncertain_ge05	16.7539
